Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1778006642178,1476,876,806,800,2000,2000,2099,830,2000,1000,1100,856,1100,841,809,800,0,0,0,0,0,0,4.1666669845581055,0,0,0,0,0,7.692307949066162,8,4,0,104913.53228759766,19806.728393554688,0,404332056576,8589930496,3970764800,0
200,1778006642178,1476,876,806,800,2000,2000,2099,830,2000,1000,1100,856,1100,841,809,800,0,0,0,0,0,0,4.1666669845581055,0,0,0,0,0,7.692307949066162,8,4,0,104913.5425415039,19806.750061035156,0,404332056576,8589930496,3970764800,0
0,1778006642378,1476,876,806,800,2000,2000,2099,830,2000,1000,1100,856,1100,841,809,800,57.142860412597656,57.142860412597656,55,57.894737243652344,55,57.894737243652344,57.142860412597656,70,57.142860412597656,57.894737243652344,57.142860412597656,55,57.894737243652344,57.142860412597656,60.000003814697266,55,104915.80059814453,19813.450744628906,0,404332056576,8589930496,3970990080,0
