Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1782140933712,1091,800,4018,800,1558,800,800,5643,4384,2942,3521,800,5579,800,800,4400,4374,3050,3323,800,800,1802,800,800,2426,2359,5689,800,5652,800,3239,800,3.4482758045196533,0,0,0,3.3333334922790527,0,0,100,0,0,0,0,3.4482758045196533,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3333334922790527,0,3.4482758045196533,0,0,0,0,24564,357,13066,30,0,158480.85021972656,209921.3641357422,0,134868582400,8589930496,2242285568,0
200,1782140933712,1091,800,4018,800,1558,800,800,5643,4384,2942,3521,800,5579,800,800,4400,4374,3050,3323,800,800,1802,800,800,2426,2359,5689,800,5652,800,3239,800,3.4482758045196533,0,0,0,3.3333334922790527,0,0,100,0,0,0,0,3.4482758045196533,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3333334922790527,0,3.4482758045196533,0,0,0,0,24564,357,13066,30,0,158481.3129272461,209921.70391845703,0,134868582400,8589930496,2242285568,0
200,1782140933912,1091,800,4018,800,1558,800,800,5643,4384,2942,3521,800,5579,800,800,4400,4374,3050,3323,800,800,1802,800,800,2426,2359,5689,800,5652,800,3239,800,45.45454788208008,4.34782600402832,22.72727394104004,0,31.81818199157715,0,0,100,0,13.043478012084961,4.545454502105713,4.34782600402832,77.2727279663086,12.5,0,0,0,9.090909004211426,4.34782600402832,0,0,0,4.545454502105713,0,0,0,27.272727966308594,0,39.130435943603516,0,43.4782600402832,0,0,24564,357,13090,30,0,158504.84057617188,209943.15936279297,0,134868582400,8589930496,2255945728,0
10,1782140934113,1091,800,4018,800,1558,800,800,5643,4384,2942,3521,800,5579,800,800,4400,4374,3050,3323,800,800,1802,800,800,2426,2359,5689,800,5652,800,3239,800,5,0,0,0,0,0,0,100,0,10,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.526315689086914,0,15.000000953674316,0,0,24564,357,13090,30,0,158514.39044189453,209950.6644897461,0,134868582400,8589930496,2261610496,0
